size,algorithm,time_seconds,gflops
32,naive,0.000017,3.957488
32,goto,0.000001,47.148201
64,naive,0.000157,3.338245
64,goto,0.000012,43.186820
128,naive,0.002123,1.975218
128,goto,0.000105,40.054089
256,naive,0.024530,1.367875
256,goto,0.000631,53.153768
512,naive,0.763068,0.351785
512,goto,0.005840,45.962709
